,Department,Team,Job Role,Bash/Shell,Python,Go,JavaScript,C#,Clojure,Scala,SQL,HTML,CSS,Julia,Java,R,Ruby,PHP,Matlab,Perl,Fortran,TensorFlow,React,Torch/PyTorch,Node.js,.NET Core,Spark,Spring,Django,Angular,Hadoop,Xamarin,Cordova,Redis,PostgreSQL,Elasticsearch,Amazon RDS/Aurora,MongoDB,MariaDB,SQL Server,Amazon DynamoDB,MySQL,SQLite,Cassandra,Apache Hive,Amazon Redshift,Apache HBase,Memcached,Oracle,Visual Studio Code,Visual Studio,Notepad++,Sublime Text,IntelliJ,Vim,Eclipse,Atom,PyCharm,NetBeans,IPython,Jupyter,Emacs,RStudio,Linux,Serverless,VMware,AWS,Docker,Windows Desktop or Server,Mainframe
0,technology,tis   data services,software developer,16,0,0,11,0,1,1,3,15,10,0,14,0,0,0,0,1,2,0,0,0,8,0,0,12,0,4,0,0,0,1,2,0,0,3,0,0,1,6,3,0,0,0,0,0,2,5,2,5,1,6,2,1,1,2,0,0,2,0,0,8,2,2,5,3,5,0
1,technology,technology and information service,technical lead,10,0,0,6,0,0,0,3,7,5,0,4,0,0,0,0,4,1,1,0,0,4,0,0,4,1,3,0,0,0,2,3,1,1,0,1,0,1,4,3,0,0,0,0,0,0,3,1,3,1,2,4,1,0,1,2,0,0,1,0,7,2,1,5,4,3,0
2,technology,technology and information service,software developer,16,0,0,11,0,1,1,3,15,10,0,14,0,0,0,0,1,2,0,0,0,8,0,0,12,0,4,0,0,0,1,2,0,0,3,0,0,1,6,3,0,0,0,0,0,2,5,2,5,1,6,2,1,1,2,0,0,2,0,0,8,2,2,5,3,5,0
3,technology,infrastructure and operations,intern/placement/apprentice,5,0,0,4,0,0,0,1,2,2,0,1,0,0,0,0,0,0,0,0,0,3,0,0,0,0,1,0,0,0,0,0,0,0,0,0,2,0,3,1,0,0,0,0,0,2,1,2,4,1,0,1,2,0,1,1,0,1,0,0,1,2,0,1,0,2,0
4,technology,high performance computing,hpc support,3,1,2,1,0,0,0,1,2,2,1,0,0,1,0,0,2,2,0,0,0,2,0,1,0,2,0,0,0,0,1,0,1,0,0,1,0,0,1,1,0,0,0,0,1,0,0,0,0,1,0,2,0,1,1,0,1,1,3,0,3,0,0,1,1,0,0
5,technology,infrastructure and operations,front end developer,3,0,0,3,0,0,0,2,3,3,0,1,0,0,0,0,0,0,0,1,0,3,0,0,1,1,3,0,0,0,0,1,0,0,2,0,0,1,2,2,0,1,0,0,0,1,2,2,1,0,2,0,1,1,0,0,0,1,0,0,0,0,0,2,0,0,0
6,technology,infrastructure and operations,intern/placement/apprentice,5,0,0,4,0,0,0,1,2,2,0,1,0,0,0,0,0,0,0,0,0,3,0,0,0,0,1,0,0,0,0,0,0,0,0,0,2,0,3,1,0,0,0,0,0,2,1,2,4,1,0,1,2,0,1,1,0,1,0,0,1,2,0,1,0,2,0
7,technology,technology and information service,software developer,16,0,0,11,0,1,1,3,15,10,0,14,0,0,0,0,1,2,0,0,0,8,0,0,12,0,4,0,0,0,1,2,0,0,3,0,0,1,6,3,0,0,0,0,0,2,5,2,5,1,6,2,1,1,2,0,0,2,0,0,8,2,2,5,3,5,0
8,technology,technology and information service,it practitioner,12,2,0,5,1,0,1,1,8,3,0,6,0,1,0,0,1,3,0,2,1,2,1,0,3,0,2,0,0,0,1,1,0,0,2,2,0,0,1,1,0,0,0,0,1,0,0,1,1,2,3,6,1,1,2,1,2,1,0,0,6,3,1,3,3,3,0
9,science,research to operations,scientific software engineer,9,2,1,3,0,1,0,1,8,3,0,1,0,1,0,0,2,4,1,1,0,1,0,1,0,2,1,1,0,0,1,2,0,0,1,1,0,0,2,1,0,0,0,0,0,0,1,0,2,1,0,3,1,1,0,0,2,1,1,0,6,1,2,2,1,1,0
10,science,climate science,scientific software engineer,9,2,1,3,0,1,0,1,8,3,0,1,0,1,0,0,2,4,1,1,0,1,0,1,0,2,1,1,0,0,1,2,0,0,1,1,0,0,2,1,0,0,0,0,0,0,1,0,2,1,0,3,1,1,0,0,2,1,1,0,6,1,2,2,1,1,0
11,technology,geospatial applications   kraken squad,scientific software engineer,9,2,1,3,0,1,0,1,8,3,0,1,0,1,0,0,2,4,1,1,0,1,0,1,0,2,1,1,0,0,1,2,0,0,1,1,0,0,2,1,0,0,0,0,0,0,1,0,2,1,0,3,1,1,0,0,2,1,1,0,6,1,2,2,1,1,0
12,science,climate science,scientific software engineer,9,2,1,3,0,1,0,1,8,3,0,1,0,1,0,0,2,4,1,1,0,1,0,1,0,2,1,1,0,0,1,2,0,0,1,1,0,0,2,1,0,0,0,0,0,0,1,0,2,1,0,3,1,1,0,0,2,1,1,0,6,1,2,2,1,1,0
13,others,aviation applications,scientist,10,0,0,2,0,0,0,0,10,4,0,0,0,0,1,0,2,5,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,1,1,1,0,0,0,0,0,0,2,0,2,0,2,0,0,5,0
14,technology,informatics lab,scientific software engineer,9,2,1,3,0,1,0,1,8,3,0,1,0,1,0,0,2,4,1,1,0,1,0,1,0,2,1,1,0,0,1,2,0,0,1,1,0,0,2,1,0,0,0,0,0,0,1,0,2,1,0,3,1,1,0,0,2,1,1,0,6,1,2,2,1,1,0
15,technology,technology and information service,it practitioner,12,2,0,5,1,0,1,1,8,3,0,6,0,1,0,0,1,3,0,2,1,2,1,0,3,0,2,0,0,0,1,1,0,0,2,2,0,0,1,1,0,0,0,0,1,0,0,1,1,2,3,6,1,1,2,1,2,1,0,0,6,3,1,3,3,3,0
16,technology,technology and information service,software developer,16,0,0,11,0,1,1,3,15,10,0,14,0,0,0,0,1,2,0,0,0,8,0,0,12,0,4,0,0,0,1,2,0,0,3,0,0,1,6,3,0,0,0,0,0,2,5,2,5,1,6,2,1,1,2,0,0,2,0,0,8,2,2,5,3,5,0
17,technology,solutions delivery,software developer,16,0,0,11,0,1,1,3,15,10,0,14,0,0,0,0,1,2,0,0,0,8,0,0,12,0,4,0,0,0,1,2,0,0,3,0,0,1,6,3,0,0,0,0,0,2,5,2,5,1,6,2,1,1,2,0,0,2,0,0,8,2,2,5,3,5,0
18,technology,informatics lab,it practitioner,12,2,0,5,1,0,1,1,8,3,0,6,0,1,0,0,1,3,0,2,1,2,1,0,3,0,2,0,0,0,1,1,0,0,2,2,0,0,1,1,0,0,0,0,1,0,0,1,1,2,3,6,1,1,2,1,2,1,0,0,6,3,1,3,3,3,0
19,science,weather science,scientific software engineer,9,2,1,3,0,1,0,1,8,3,0,1,0,1,0,0,2,4,1,1,0,1,0,1,0,2,1,1,0,0,1,2,0,0,1,1,0,0,2,1,0,0,0,0,0,0,1,0,2,1,0,3,1,1,0,0,2,1,1,0,6,1,2,2,1,1,0
20,science,applied science,scientist,10,0,0,2,0,0,0,0,10,4,0,0,0,0,1,0,2,5,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,1,1,1,0,0,0,0,0,0,2,0,2,0,2,0,0,5,0
21,technology,technology and information service,team leader,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0
22,science,climate science,scientific software engineer,9,2,1,3,0,1,0,1,8,3,0,1,0,1,0,0,2,4,1,1,0,1,0,1,0,2,1,1,0,0,1,2,0,0,1,1,0,0,2,1,0,0,0,0,0,0,1,0,2,1,0,3,1,1,0,0,2,1,1,0,6,1,2,2,1,1,0
23,science,climate science,climate monitor,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,1,0,0,1,0,0,0
24,technology,digital,software developer,16,0,0,11,0,1,1,3,15,10,0,14,0,0,0,0,1,2,0,0,0,8,0,0,12,0,4,0,0,0,1,2,0,0,3,0,0,1,6,3,0,0,0,0,0,2,5,2,5,1,6,2,1,1,2,0,0,2,0,0,8,2,2,5,3,5,0
25,science,high performance computing optimisation,scientific software engineer,9,2,1,3,0,1,0,1,8,3,0,1,0,1,0,0,2,4,1,1,0,1,0,1,0,2,1,1,0,0,1,2,0,0,1,1,0,0,2,1,0,0,0,0,0,0,1,0,2,1,0,3,1,1,0,0,2,1,1,0,6,1,2,2,1,1,0
26,science,climate science,scientist,10,0,0,2,0,0,0,0,10,4,0,0,0,0,1,0,2,5,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,1,1,1,0,0,0,0,0,0,2,0,2,0,2,0,0,5,0
27,technology,solutions delivery   data services,software developer,16,0,0,11,0,1,1,3,15,10,0,14,0,0,0,0,1,2,0,0,0,8,0,0,12,0,4,0,0,0,1,2,0,0,3,0,0,1,6,3,0,0,0,0,0,2,5,2,5,1,6,2,1,1,2,0,0,2,0,0,8,2,2,5,3,5,0
28,technology,infrastructure and operations,hpc support,3,1,2,1,0,0,0,1,2,2,1,0,0,1,0,0,2,2,0,0,0,2,0,1,0,2,0,0,0,0,1,0,1,0,0,1,0,0,1,1,0,0,0,0,1,0,0,0,0,1,0,2,0,1,1,0,1,1,3,0,3,0,0,1,1,0,0
29,technology,solutions delivery,front end developer,3,0,0,3,0,0,0,2,3,3,0,1,0,0,0,0,0,0,0,1,0,3,0,0,1,1,3,0,0,0,0,1,0,0,2,0,0,1,2,2,0,1,0,0,0,1,2,2,1,0,2,0,1,1,0,0,0,1,0,0,0,0,0,2,0,0,0
30,science,applied science,scientist,10,0,0,2,0,0,0,0,10,4,0,0,0,0,1,0,2,5,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,1,1,1,0,0,0,0,0,0,2,0,2,0,2,0,0,5,0
31,technology,informatics lab,software developer,16,0,0,11,0,1,1,3,15,10,0,14,0,0,0,0,1,2,0,0,0,8,0,0,12,0,4,0,0,0,1,2,0,0,3,0,0,1,6,3,0,0,0,0,0,2,5,2,5,1,6,2,1,1,2,0,0,2,0,0,8,2,2,5,3,5,0
32,science,applied science,software engineer,3,0,0,1,0,0,0,0,2,2,0,0,1,0,0,1,1,2,0,0,0,2,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,1,0,0,0,0,0,1,1,0,0,1,0,1,0
33,technology,technology and information service,software developer,16,0,0,11,0,1,1,3,15,10,0,14,0,0,0,0,1,2,0,0,0,8,0,0,12,0,4,0,0,0,1,2,0,0,3,0,0,1,6,3,0,0,0,0,0,2,5,2,5,1,6,2,1,1,2,0,0,2,0,0,8,2,2,5,3,5,0
34,science,weather science,technical lead,10,0,0,6,0,0,0,3,7,5,0,4,0,0,0,0,4,1,1,0,0,4,0,0,4,1,3,0,0,0,2,3,1,1,0,1,0,1,4,3,0,0,0,0,0,0,3,1,3,1,2,4,1,0,1,2,0,0,1,0,7,2,1,5,4,3,0
35,science,climate science,manager,2,0,0,0,0,0,0,0,1,1,0,0,0,0,0,0,0,1,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,1,0,1,0,0,1,0
36,technology,solutions delivery,technical lead,10,0,0,6,0,0,0,3,7,5,0,4,0,0,0,0,4,1,1,0,0,4,0,0,4,1,3,0,0,0,2,3,1,1,0,1,0,1,4,3,0,0,0,0,0,0,3,1,3,1,2,4,1,0,1,2,0,0,1,0,7,2,1,5,4,3,0
37,technology,technology and information service,software developer,16,0,0,11,0,1,1,3,15,10,0,14,0,0,0,0,1,2,0,0,0,8,0,0,12,0,4,0,0,0,1,2,0,0,3,0,0,1,6,3,0,0,0,0,0,2,5,2,5,1,6,2,1,1,2,0,0,2,0,0,8,2,2,5,3,5,0
38,technology,technology and information service,software engineer,3,0,0,1,0,0,0,0,2,2,0,0,1,0,0,1,1,2,0,0,0,2,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,1,0,0,0,0,0,1,1,0,0,1,0,1,0
39,science,"verification, impacts and post processing",scientist,10,0,0,2,0,0,0,0,10,4,0,0,0,0,1,0,2,5,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,1,1,1,0,0,0,0,0,0,2,0,2,0,2,0,0,5,0
40,technology,cloudops,it practitioner,12,2,0,5,1,0,1,1,8,3,0,6,0,1,0,0,1,3,0,2,1,2,1,0,3,0,2,0,0,0,1,1,0,0,2,2,0,0,1,1,0,0,0,0,1,0,0,1,1,2,3,6,1,1,2,1,2,1,0,0,6,3,1,3,3,3,0
41,technology,technology and information service,technical lead,10,0,0,6,0,0,0,3,7,5,0,4,0,0,0,0,4,1,1,0,0,4,0,0,4,1,3,0,0,0,2,3,1,1,0,1,0,1,4,3,0,0,0,0,0,0,3,1,3,1,2,4,1,0,1,2,0,0,1,0,7,2,1,5,4,3,0
42,technology,solutions delivery,software developer,16,0,0,11,0,1,1,3,15,10,0,14,0,0,0,0,1,2,0,0,0,8,0,0,12,0,4,0,0,0,1,2,0,0,3,0,0,1,6,3,0,0,0,0,0,2,5,2,5,1,6,2,1,1,2,0,0,2,0,0,8,2,2,5,3,5,0
43,technology,infrastructure and operations,it practitioner,12,2,0,5,1,0,1,1,8,3,0,6,0,1,0,0,1,3,0,2,1,2,1,0,3,0,2,0,0,0,1,1,0,0,2,2,0,0,1,1,0,0,0,0,1,0,0,1,1,2,3,6,1,1,2,1,2,1,0,0,6,3,1,3,3,3,0
44,technology,technology and information service,technical lead,10,0,0,6,0,0,0,3,7,5,0,4,0,0,0,0,4,1,1,0,0,4,0,0,4,1,3,0,0,0,2,3,1,1,0,1,0,1,4,3,0,0,0,0,0,0,3,1,3,1,2,4,1,0,1,2,0,0,1,0,7,2,1,5,4,3,0
45,technology,platforms,it practitioner,12,2,0,5,1,0,1,1,8,3,0,6,0,1,0,0,1,3,0,2,1,2,1,0,3,0,2,0,0,0,1,1,0,0,2,2,0,0,1,1,0,0,0,0,1,0,0,1,1,2,3,6,1,1,2,1,2,1,0,0,6,3,1,3,3,3,0
